Zipcode,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count (total),Poverty Rate,average rent,Median Home Value,African poverty rate,Native Hawaiian / Pacific Islander poverty rate,Hispanic poverty rate,Mix race poverty rate,Single father poverty rate,Single mother poverty rate,Asian poverty rate,Caucasian poverty rate
90001,ZCTA5 90001,57942.0,28.0,34323.0,11294.0,18902.0,32.62227744986366,915.0,272200.0,3.2998515757136446,0.0,29.018673846260054,0.47979013496254874,1.0406958682820753,2.820061440751096,0.06385696040868455,10.954057505781643
90002,ZCTA5 90002,51826.0,27.5,32520.0,11212.0,18302.0,35.31432099718288,902.0,248200.0,7.679543086481689,0.0019295334388144947,26.24358430131594,0.5016786940917686,0.7004206382896616,3.5734959286844443,0.27978234862810175,12.146412997337244
90003,ZCTA5 90003,70208.0,28.0,31878.0,10611.0,24556.0,34.9760711030082,958.0,268500.0,10.592809936189608,0.0,24.42884001823154,0.3318710118505014,0.9657019143117593,3.419838195077484,0.04415451230628988,6.73285095715588
90004,ZCTA5 90004,63095.0,35.5,43180.0,29194.0,12919.0,20.4754734923528,1044.0,838000.0,1.2251366986290515,0.0,13.363974958396069,0.31064268167049686,0.5055868135351455,1.6720817814406848,3.650051509628338,8.178144068468184
90005,ZCTA5 90005,39338.0,33.9,31485.0,20265.0,11520.0,29.284661141898418,943.0,672600.0,1.769281610656363,0.0,20.04168996898673,0.4702831867405562,0.7168641008693883,2.85474604707916,6.111139356347552,5.389191112918806
90006,ZCTA5 90006,61230.0,33.6,31993.0,14306.0,17456.0,28.508900865588764,916.0,469200.0,1.1350645108606892,0.01796504981218357,23.228809407153356,0.4164625183733464,0.971745876204475,2.5151069737057,3.3317001469867713,6.8152866242038215
90007,ZCTA5 90007,41979.0,24.3,22485.0,11658.0,17605.0,41.93763548440887,1000.0,421200.0,4.056790299911861,0.29062150122680386,17.956597346292195,0.9981181066723838,0.7074966054455799,2.324972009814431,11.422377855594464,11.455727863931966
90008,ZCTA5 90008,32060.0,43.7,36134.0,28316.0,6769.0,21.11353711790393,940.0,507900.0,13.558951965065502,0.11540860885839052,6.469120399251404,0.511540860885839,0.42108546475358705,2.526512788521522,0.37429819089207733,4.404242046163444
90010,ZCTA5 90010,3524.0,38.8,47569.0,37831.0,581.0,16.48694665153235,1635.0,759400.0,0.39727582292849034,0.0,2.298524404086266,0.0,1.1634506242905789,0.8229284903518729,12.712826333711691,1.362088535754824
90011,ZCTA5 90011,104762.0,28.2,31684.0,10103.0,40661.0,38.81273744296596,888.0,294800.0,3.3943605505813177,0.014318168801664725,35.06424085069013,0.314999713636624,1.3000897271911571,3.534678604837632,0.10786353830587427,13.192760733853879
90012,ZCTA5 90012,32543.0,35.8,32712.0,21989.0,7755.0,23.830009525858095,1121.0,432700.0,0.8112343668377224,0.03687428940171465,5.5956734167101985,0.3226500322650032,0.2980671726638601,1.3366929908121563,15.29053867191101,3.6567003656700368
90013,ZCTA5 90013,11668.0,43.7,22058.0,33518.0,5229.0,44.8148782996229,696.0,476700.0,21.417552279739457,0.2056907781967775,8.04765169694892,2.9910867329448063,0.12855673637298595,0.2228316763798423,4.628042509427494,11.972917380870758
90014,ZCTA5 90014,7191.0,41.3,23580.0,39272.0,2809.0,39.06271728549576,758.0,403100.0,12.932832707551105,0.43109442358503686,7.495480461688222,1.4323459880406064,0.0,0.0,8.288137950215548,11.931581143095537
90015,ZCTA5 90015,19378.0,32.8,30463.0,28731.0,7366.0,38.0121787594179,875.0,560300.0,2.3480235318402314,0.0,28.64072659717205,0.7895551656517701,0.31478996800495407,2.7195789039116525,3.674269790484054,13.6082155021158
